"","Year","Total","Gas","Liquids","Solids","CementProduction","GasFlaring","PerCapita"
"2",1752,0,NA,NA,0,NA,NA,NA
"3",1753,0,NA,NA,0,NA,NA,NA
"4",1754,0,NA,NA,0,NA,NA,NA
"5",1755,0,NA,NA,0,NA,NA,NA
"6",1756,0,NA,NA,0,NA,NA,NA
"7",1757,0,NA,NA,0,NA,NA,NA
"8",1758,0,NA,NA,0,NA,NA,NA
"9",1759,0,NA,NA,0,NA,NA,NA
"10",1760,0,NA,NA,0,NA,NA,NA
"11",1761,0,NA,NA,0,NA,NA,NA
"12",1762,0,NA,NA,0,NA,NA,NA
"13",1763,0,NA,NA,0,NA,NA,NA
"14",1764,0,NA,NA,0,NA,NA,NA
"15",1765,0,NA,NA,0,NA,NA,NA
"16",1766,0,NA,NA,0,NA,NA,NA
"17",1767,0,NA,NA,0,NA,NA,NA
"18",1768,0,NA,NA,0,NA,NA,NA
"19",1769,0,NA,NA,0,NA,NA,NA
"20",1770,0,NA,NA,0,NA,NA,NA
"21",1771,0.333333333333333,NA,NA,0.333333333333333,NA,NA,NA
"22",1772,0,NA,NA,0,NA,NA,NA
"23",1773,0,NA,NA,0,NA,NA,NA
"24",1774,0,NA,NA,0,NA,NA,NA
"25",1775,0,NA,NA,0,NA,NA,NA
"26",1776,0,NA,NA,0,NA,NA,NA
"27",1777,0,NA,NA,0,NA,NA,NA
"28",1778,0,NA,NA,0,NA,NA,NA
"29",1779,0,NA,NA,0,NA,NA,NA
"30",1780,0,NA,NA,0,NA,NA,NA
"31",1781,0.25,NA,NA,0.25,NA,NA,NA
"32",1782,0,NA,NA,0,NA,NA,NA
"33",1783,0,NA,NA,0,NA,NA,NA
"34",1784,0,NA,NA,0,NA,NA,NA
"35",1785,0,NA,NA,0,NA,NA,NA
"36",1786,0,NA,NA,0,NA,NA,NA
"37",1787,0,NA,NA,0,NA,NA,NA
"38",1788,0,NA,NA,0,NA,NA,NA
"39",1789,0,NA,NA,0,NA,NA,NA
"40",1790,0,NA,NA,0,NA,NA,NA
"41",1791,0.2,NA,NA,0.2,NA,NA,NA
"42",1792,0,NA,NA,0,NA,NA,NA
"43",1793,0,NA,NA,0,NA,NA,NA
"44",1794,0,NA,NA,0,NA,NA,NA
"45",1795,0,NA,NA,0,NA,NA,NA
"46",1796,0,NA,NA,0,NA,NA,NA
"47",1797,0.166666666666667,NA,NA,0.166666666666667,NA,NA,NA
"48",1798,0,NA,NA,0,NA,NA,NA
"49",1799,0,NA,NA,0,NA,NA,NA
"50",1800,0.142857142857143,NA,NA,0.142857142857143,NA,NA,NA
"51",1801,0,NA,NA,0,NA,NA,NA
"52",1802,0.25,NA,NA,0.25,NA,NA,NA
"53",1803,-0.1,NA,NA,-0.1,NA,NA,NA
"54",1804,0,NA,NA,0,NA,NA,NA
"55",1805,0,NA,NA,0,NA,NA,NA
"56",1806,0.111111111111111,NA,NA,0.111111111111111,NA,NA,NA
"57",1807,0,NA,NA,0,NA,NA,NA
"58",1808,0,NA,NA,0,NA,NA,NA
"59",1809,0,NA,NA,0,NA,NA,NA
"60",1810,0,NA,NA,0,NA,NA,NA
"61",1811,0.1,NA,NA,0.1,NA,NA,NA
"62",1812,0,NA,NA,0,NA,NA,NA
"63",1813,0,NA,NA,0,NA,NA,NA
"64",1814,0,NA,NA,0,NA,NA,NA
"65",1815,0.0909090909090909,NA,NA,0.0909090909090909,NA,NA,NA
"66",1816,0.0833333333333333,NA,NA,0.0833333333333333,NA,NA,NA
"67",1817,0.0769230769230769,NA,NA,0.0769230769230769,NA,NA,NA
"68",1818,0,NA,NA,0,NA,NA,NA
"69",1819,0,NA,NA,0,NA,NA,NA
"70",1820,0,NA,NA,0,NA,NA,NA
"71",1821,0,NA,NA,0,NA,NA,NA
"72",1822,0.0714285714285714,NA,NA,0.0714285714285714,NA,NA,NA
"73",1823,0.0666666666666667,NA,NA,0.0666666666666667,NA,NA,NA
"74",1824,0,NA,NA,0,NA,NA,NA
"75",1825,0.0625,NA,NA,0.0625,NA,NA,NA
"76",1826,0,NA,NA,0,NA,NA,NA
"77",1827,0.0588235294117647,NA,NA,0.0588235294117647,NA,NA,NA
"78",1828,0,NA,NA,0,NA,NA,NA
"79",1829,0,NA,NA,0,NA,NA,NA
"80",1830,0.333333333333333,NA,NA,0.333333333333333,NA,NA,NA
"81",1831,-0.0416666666666667,NA,NA,-0.0416666666666667,NA,NA,NA
"82",1832,0,NA,NA,0,NA,NA,NA
"83",1833,0.0434782608695652,NA,NA,0.0434782608695652,NA,NA,NA
"84",1834,0,NA,NA,0,NA,NA,NA
"85",1835,0.0416666666666667,NA,NA,0.0416666666666667,NA,NA,NA
"86",1836,0.16,NA,NA,0.16,NA,NA,NA
"87",1837,0,NA,NA,0,NA,NA,NA
"88",1838,0.0344827586206897,NA,NA,0.0344827586206897,NA,NA,NA
"89",1839,0.0333333333333333,NA,NA,0.0333333333333333,NA,NA,NA
"90",1840,0.0645161290322581,NA,NA,0.0645161290322581,NA,NA,NA
"91",1841,0.0303030303030303,NA,NA,0.0303030303030303,NA,NA,NA
"92",1842,0.0588235294117647,NA,NA,0.0588235294117647,NA,NA,NA
"93",1843,0.0277777777777778,NA,NA,0.0277777777777778,NA,NA,NA
"94",1844,0.0540540540540541,NA,NA,0.0540540540540541,NA,NA,NA
"95",1845,0.102564102564103,NA,NA,0.102564102564103,NA,NA,NA
"96",1846,0,NA,NA,0,NA,NA,NA
"97",1847,0.0697674418604651,NA,NA,0.0697674418604651,NA,NA,NA
"98",1848,0.0217391304347826,NA,NA,0.0217391304347826,NA,NA,NA
"99",1849,0.0638297872340425,NA,NA,0.0638297872340425,NA,NA,NA
"100",1850,0.08,NA,NA,0.08,NA,NA,NA
"101",1851,0,NA,NA,0,NA,NA,NA
"102",1852,0.0555555555555556,NA,NA,0.0555555555555556,NA,NA,NA
"103",1853,0.0350877192982456,NA,NA,0.0350877192982456,NA,NA,NA
"104",1854,0.169491525423729,NA,NA,0.169491525423729,NA,NA,NA
"105",1855,0.0289855072463768,NA,NA,0.0289855072463768,NA,NA,NA
"106",1856,0.0704225352112676,NA,NA,0.0704225352112676,NA,NA,NA
"107",1857,0.0131578947368421,NA,NA,0.0131578947368421,NA,NA,NA
"108",1858,0.012987012987013,NA,NA,0.012987012987013,NA,NA,NA
